Student_Name,School_Name,Area_Type,Gender,Caste,Standard,Age,Year,District,Dropout_Status,Dropout_Reason,Parental_Education,Family_Income,Prev_Academic_Performance,Attendance_Record,Teacher_Student_Ratio,Distance_km
Mira Patil,New Oxford School,Semi-Urban,Male,General,3,8,2018,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,100,30,0.33
Shreya Mehta,Sri Taralabalu Central School,Semi-Urban,Female,OBC,9,14,2019,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.125,45.8,0.1
Pari Naik,Assisi Central School,Rural,Female,General,1,6,2022,Udupi,Enrolled,Family Issues,No Schooling,10000,52.757,78.64,49.7,3.79
Krishna Das,New Oxford School,Rural,Male,General,7,12,2019,Mysuru,Dropout,Lack of interest,Secondary,50000,52.757,79.06,42.9,5.37
Ira Ghosh,Assisi Central School,Semi-Urban,Male,ST,9,14,2023,Udupi,Enrolled,Not applicable,Primary,50000,75.11,90.125,22.6,2.33
Rohan Joshi,PES Public School,Semi-Urban,Female,General,9,14,2020,Mysuru,Enrolled,Not applicable,Secondary,10000,67.74,96.59,22.1,2.79
Harsh Roy,Sri Taralabalu Central School,Urban,Male,OBC,4,9,2022,Bengaluru Urban,Enrolled,Not applicable,Primary,50000,71.16,98.71,32.8,1.5
Reyansh Chatterjee,Freedom International School,Urban,Male,General,3,8,2023,Shivamogga,Enrolled,Health issues,No Schooling,10000,52.757,79.65,40.9,0.65
Ayush Kumar,Jain International School,Semi-Urban,Female,SC,2,7,2023,Dakshina Kannada,Enrolled,Not applicable,Secondary,50000,67.74,90.125,27.8,0.22
Arjun Pai,National Public School,Rural,Female,ST,9,14,2023,Mysuru,Enrolled,Not applicable,Secondary,50000,67.74,99.89,36.1,1.66
Saanvi Reddy,PES Public School,Rural,Female,OBC,10,15,2020,Belagavi,Enrolled,Long distance to school,Higher Secondary,10000,52.757,79.65,39.9,8.56
Priya Naik,Jain International School,Semi-Urban,Female,OBC,9,14,2024,Udupi,Enrolled,Not applicable,Secondary,60000,67.74,90.125,25.8,1.05
Vivaan Seth,National Public School,Urban,Female,ST,1,6,2021,Udupi,Enrolled,Not applicable,Primary,25000,67.74,91.69,39.1,0.98
Reyansh Bhat,National Public School,Urban,Male,SC,10,15,2020,Bengaluru Rural,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,24,0.49
Tanvi Chopra,Freedom International School,Rural,Female,General,8,13,2022,Belagavi,Dropout,Child Labour,Secondary,25000,45.03,75.62,34.3,1.78
Aditya Gupta,PES Public School,Rural,Male,SC,7,12,2019,Dharwad,Enrolled,Not applicable,Graduate,50000,68.56,96.81,36.3,1.57
Aryan Desai,Freedom International School,Semi-Urban,Male,General,4,9,2020,Mysuru,Enrolled,Other,Secondary,50000,45.64,79.65,35.3,1.76
Krishna Pandey,Sri Taralabalu Central School,Urban,Male,SC,2,7,2024,Udupi,Dropout,Family responsibilities,Primary,10000,52.757,79.65,25.5,1.6
Anvi Iyer,New Oxford School,Semi-Urban,Female,SC,1,6,2018,Ballari,Dropout,Other,Higher Secondary,25000,52.757,79.65,49.5,0.95
Aditya Reddy,Freedom International School,Rural,Male,SC,6,11,2019,Mysuru,Dropout,Family responsibilities,Primary,15000,47.35,79.65,42.6,9.51
Saanvi Reddy,Freedom International School,Rural,Female,OBC,2,7,2019,Bengaluru Rural,Enrolled,Not applicable,Graduate,10000,67.74,90.125,42.2,2.98
Harsh Shetty,Maharishi Public School,Semi-Urban,Female,ST,9,14,2020,Bengaluru Urban,Enrolled,Financial hardship,No Schooling,50000,52.757,57.52,39.4,1.58
Arjun Seth,Assisi Central School,Rural,Male,ST,10,15,2018,Udupi,Enrolled,Not applicable,No Schooling,50000,84.6,91.3,44.6,6.91
Dhruv Shetty,Sri Taralabalu Central School,Rural,Female,ST,3,8,2024,Bengaluru Rural,Dropout,Migration,No Schooling,50000,44.77,67.48,41,5.9
Shreya Shetty,Maharishi Public School,Semi-Urban,Male,OBC,9,14,2023,Belagavi,Enrolled,Not applicable,Primary,50000,67.74,90.125,49.3,1.17
Shreya Pai,Sri Taralabalu Central School,Urban,Female,General,2,7,2023,Udupi,Enrolled,Not applicable,No Schooling,15000,77.23,90.125,25.4,2.54
Pari Desai,Maharishi Public School,Semi-Urban,Female,SC,7,12,2023,Tumakuru,Dropout,Lack of interest,Graduate,25000,52.757,79.65,31.4,2.52
Pari Jain,Sri Taralabalu Central School,Urban,Male,General,2,7,2024,Dakshina Kannada,Dropout,Other,Secondary,25000,40.05,77.67,43.9,1.67
Reyansh Gupta,Delhi Public School,Rural,Male,OBC,5,10,2023,Udupi,Dropout,Other,No Schooling,50000,52.757,66.3,28.3,5.41
Aditya Jain,Assisi Central School,Semi-Urban,Male,SC,7,12,2018,Ballari,Enrolled,Not applicable,Graduate,25000,73.35,93.62,30,0.24
Vihaan Shetty,Freedom International School,Semi-Urban,Male,SC,2,7,2024,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,45.3,2.52
Aditya Patil,Jain International School,Urban,Male,OBC,10,15,2022,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,15000,67.74,93.85,41.3,2.29
Aditya Kumar,PES Public School,Urban,Female,General,4,9,2018,Dakshina Kannada,Enrolled,Health issues,Higher Secondary,50000,52.757,79.65,34.7,0.35
Krishna Rao,PES Public School,Urban,Female,SC,6,11,2022,Udupi,Dropout,Bullying,Primary,10000,52.757,79.65,46.9,1.78
Rohan Ghosh,PES Public School,Rural,Male,SC,4,9,2020,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,90.125,21.6,1.73
Diya Shetty,National Public School,Rural,Male,SC,5,10,2018,Ballari,Enrolled,Not applicable,Secondary,15000,67.74,90.125,46.9,1.22
Aryan Roy,National Public School,Rural,Male,General,3,8,2019,Ballari,Enrolled,Not applicable,Primary,50000,67.74,90.125,29.4,8.38
Sara Gowda,Delhi Public School,Semi-Urban,Male,General,8,13,2021,Ballari,Enrolled,Bullying,No Schooling,25000,52.757,63.94,37.3,1.17
Aditya Sen,Freedom International School,Rural,Female,General,4,9,2024,Bengaluru Urban,Enrolled,Not applicable,Primary,100000,67.74,90.125,24.6,4.68
Rohan Das,PES Public School,Semi-Urban,Male,OBC,10,15,2021,Shivamogga,Enrolled,Not applicable,No Schooling,60000,67.74,93.3,29,2.49
Laksh Kumar,Mount Litera Zee School,Semi-Urban,Female,ST,10,15,2019,Belagavi,Enrolled,Not applicable,Higher Secondary,15000,67.74,90.125,42.2,0.36
Anaya Patil,New Oxford School,Rural,Male,ST,3,8,2020,Udupi,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,24.4,3.29
Vivaan Seth,Assisi Central School,Urban,Female,SC,1,6,2023,Bengaluru Rural,Enrolled,Not applicable,Graduate,10000,67.74,100,44.1,1.28
Priya Kulkarni,Mount Litera Zee School,Semi-Urban,Male,SC,10,15,2020,Mysuru,Enrolled,Not applicable,Primary,50000,67.74,90.125,33.3,2.91
Dhruv Nair,PES Public School,Rural,Male,SC,8,13,2019,Mysuru,Dropout,Family Issues,Primary,10000,52.757,79.65,46.1,4.62
Tanvi Desai,Jain International School,Semi-Urban,Male,SC,6,11,2022,Dharwad,Enrolled,Not applicable,Post-Graduate,60000,67.74,90.125,36.3,2.42
Ishaan Sharma,Freedom International School,Semi-Urban,Female,General,7,12,2022,Ballari,Enrolled,Not applicable,Primary,25000,71.75,90.125,35.1,1.08
Anaya Aggarwal,Freedom International School,Semi-Urban,Female,ST,1,6,2018,Ballari,Enrolled,Other,Primary,60000,52.757,79.65,32.3,1.54
Laksh Kulkarni,New Oxford School,Urban,Female,ST,1,6,2020,Ballari,Enrolled,Family Issues,Primary,25000,52.757,79.65,44,1.38
Priya Roy,PES Public School,Rural,Male,General,3,8,2022,Udupi,Enrolled,Not applicable,Primary,10000,67.74,90.125,22.8,5.48
Krishna Bhat,Mount Litera Zee School,Urban,Male,General,6,11,2020,Tumakuru,Enrolled,Lack of interest,Higher Secondary,60000,52.757,76.32,28.6,1.48
Sneha Jain,National Public School,Semi-Urban,Male,OBC,10,15,2021,Udupi,Enrolled,Not applicable,Secondary,100000,70.06,95.42,38.7,2.8
Kabir Naik,Maharishi Public School,Semi-Urban,Female,SC,6,11,2021,Dakshina Kannada,Enrolled,Not applicable,Secondary,60000,77.6,90.125,49.4,0.76
Rohan Kumar,New Oxford School,Urban,Male,ST,2,7,2020,Bengaluru Rural,Enrolled,Not applicable,Secondary,15000,67.74,95.89,30.4,1.15
Mira Jain,Maharishi Public School,Rural,Female,General,1,6,2024,Shivamogga,Enrolled,Poverty,Higher Secondary,25000,52.757,65.49,38.5,7.42
Sneha Gupta,Maharishi Public School,Rural,Female,SC,4,9,2021,Belagavi,Enrolled,Not applicable,Primary,15000,67.74,90.125,25.4,8.86
Aarav Banerjee,Delhi Public School,Urban,Female,SC,2,7,2018,Ballari,Dropout,Migration,Primary,15000,39.34,79.65,34.2,2.6
Reyansh Desai,Maharishi Public School,Semi-Urban,Male,SC,2,7,2023,Dharwad,Enrolled,Not applicable,Higher Secondary,25000,67.74,90.125,27.3,1.66
Sneha Ghosh,Sri Taralabalu Central School,Rural,Female,OBC,10,15,2024,Shivamogga,Enrolled,Family Issues,Graduate,25000,52.757,79.65,35.5,1.32
Laksh Sharma,PES Public School,Rural,Female,ST,10,15,2018,Tumakuru,Dropout,Child Labour,Graduate,25000,52.757,78.74,29.2,8.16
Diya Shetty,Assisi Central School,Rural,Male,OBC,1,6,2023,Mysuru,Enrolled,Not applicable,Primary,10000,67.74,97.24,26,2.2
Shreya Sharma,Mount Litera Zee School,Rural,Female,SC,10,15,2022,Bengaluru Urban,Enrolled,Not applicable,Secondary,50000,71.4,90.125,22,4.19
Tanvi Rao,Maharishi Public School,Semi-Urban,Female,SC,4,9,2022,Udupi,Enrolled,Not applicable,Primary,50000,67.74,90.125,29.5,1.17
Aarav Aggarwal,National Public School,Semi-Urban,Male,SC,5,10,2022,Udupi,Enrolled,Family responsibilities,Graduate,50000,46.09,59.7,30.3,2.06
Vivaan Sharma,New Oxford School,Urban,Female,OBC,2,7,2019,Bengaluru Urban,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,24.7,2.76
Pari Pai,PES Public School,Urban,Female,OBC,3,8,2021,Shivamogga,Dropout,Lack of interest,Secondary,15000,52.757,79.65,20.2,0.13
Pari Pai,Maharishi Public School,Urban,Female,General,6,11,2020,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,90.125,32.5,1.43
Saanvi Aggarwal,New Oxford School,Urban,Male,ST,9,14,2024,Dharwad,Dropout,Poverty,No Schooling,25000,23.42,79.65,25.9,1.56
Vihaan Naik,PES Public School,Semi-Urban,Male,ST,10,15,2019,Udupi,Enrolled,Not applicable,Graduate,25000,69.26,90.125,20.8,1.95
Mira Singh,Jain International School,Rural,Male,SC,4,9,2023,Mysuru,Enrolled,Financial hardship,Secondary,15000,52.757,79.65,22.3,4.08
Priya Rao,Assisi Central School,Urban,Male,SC,5,10,2019,Udupi,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,31.3,0.99
Rohan Chatterjee,Jain International School,Urban,Female,ST,3,8,2022,Dakshina Kannada,Enrolled,Not applicable,No Schooling,10000,67.74,92.32,32.7,1.03
Diya Sharma,Freedom International School,Rural,Female,OBC,3,8,2023,Ballari,Enrolled,Not applicable,No Schooling,10000,72.79,90.125,26.3,9.84
Mira Rao,Maharishi Public School,Urban,Male,ST,10,15,2024,Shivamogga,Enrolled,Not applicable,Primary,60000,67.74,90.125,40.7,2.04
Ira Chopra,Mount Litera Zee School,Rural,Female,SC,2,7,2024,Shivamogga,Dropout,Child Labour,Secondary,25000,52.757,79.65,46.3,3.43
Meera Chopra,Mount Litera Zee School,Semi-Urban,Female,General,3,8,2023,Belagavi,Dropout,Child Labour,Primary,50000,52.757,79.65,43.5,2.24
Krishna Das,Jain International School,Rural,Female,General,8,13,2020,Bengaluru Rural,Enrolled,Poverty,Higher Secondary,25000,52.757,74.23,42.6,3.69
Sneha Seth,PES Public School,Semi-Urban,Female,General,9,14,2022,Dakshina Kannada,Enrolled,Other,Graduate,10000,52.757,79.65,41.6,2.54
Aryan Das,PES Public School,Rural,Male,SC,4,9,2019,Tumakuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,41.5,9.92
Mira Shetty,National Public School,Urban,Female,General,2,7,2019,Tumakuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,97.06,22.7,1.03
Krishna Naik,Mount Litera Zee School,Semi-Urban,Male,SC,5,10,2021,Udupi,Enrolled,Not applicable,Primary,50000,80.94,90.125,31.8,2.9
Krishna Iyer,Mount Litera Zee School,Semi-Urban,Male,OBC,1,6,2018,Tumakuru,Enrolled,Family responsibilities,Primary,60000,52.757,79.65,45.7,2.27
Ira Singh,Jain International School,Urban,Female,General,4,9,2018,Belagavi,Enrolled,Not applicable,Primary,60000,70.25,90.125,30.6,0.98
Ishaan Shetty,Freedom International School,Urban,Female,SC,5,10,2023,Udupi,Enrolled,Not applicable,Graduate,10000,67.74,90.125,49.2,1.23
Sneha Joshi,Jain International School,Urban,Female,OBC,10,15,2023,Dakshina Kannada,Enrolled,Health issues,Primary,10000,47.95,79.65,28.6,2.44
Ishaan Nair,Jain International School,Semi-Urban,Male,ST,9,14,2022,Dakshina Kannada,Enrolled,Health issues,Higher Secondary,10000,45.28,79.65,32.6,1.38
Saanvi Desai,Delhi Public School,Urban,Female,General,7,12,2022,Dharwad,Enrolled,Not applicable,Primary,25000,67.74,90.125,26.5,0.47
Rohan Naik,National Public School,Urban,Male,General,5,10,2018,Belagavi,Dropout,Child Labour,Secondary,25000,52.757,79.65,27,0.83
Anvi Nair,Assisi Central School,Rural,Female,ST,5,10,2018,Udupi,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,45.7,3.28
Tanvi Reddy,Delhi Public School,Urban,Female,General,2,7,2021,Bengaluru Urban,Enrolled,Family responsibilities,Secondary,50000,52.757,79.65,48.1,0.9
Riya Ghosh,Delhi Public School,Rural,Male,General,9,14,2019,Bengaluru Rural,Enrolled,Not applicable,Graduate,25000,75.71,90.125,43.2,5.53
Riya Naik,New Oxford School,Semi-Urban,Male,OBC,9,14,2024,Dakshina Kannada,Enrolled,Health issues,Higher Secondary,25000,52.757,79.65,32.9,1.16
Vihaan Das,Sri Taralabalu Central School,Semi-Urban,Male,ST,7,12,2021,Mysuru,Enrolled,Not applicable,No Schooling,25000,67.74,90.125,26.1,2.32
Krishna Verma,Jain International School,Urban,Female,ST,9,14,2019,Dharwad,Enrolled,Not applicable,Graduate,50000,80.59,90.125,35.4,1.44
Aadhya Patil,Delhi Public School,Semi-Urban,Male,General,2,7,2020,Belagavi,Enrolled,Not applicable,Higher Secondary,50000,67.74,94.55,34.1,0.7
Riya Desai,Maharishi Public School,Semi-Urban,Female,General,3,8,2021,Ballari,Dropout,Family responsibilities,Secondary,50000,52.14,79.13,49.3,2.85
Aarav Joshi,New Oxford School,Rural,Male,OBC,9,14,2019,Mysuru,Dropout,Health issues,Graduate,50000,52.757,78.03,29.1,5.96
Riya Reddy,PES Public School,Semi-Urban,Male,SC,9,14,2018,Mysuru,Dropout,Migration,Primary,10000,52.757,79.65,27.3,0.29
Ira Sen,PES Public School,Rural,Male,SC,3,8,2024,Belagavi,Enrolled,Not applicable,Primary,15000,67.74,90.125,30.2,3.19
Anvi Nair,Freedom International School,Semi-Urban,Female,SC,6,11,2018,Udupi,Dropout,Health issues,Higher Secondary,25000,52.757,79.65,41.6,2.4
Aditya Sharma,Delhi Public School,Urban,Female,General,9,14,2023,Belagavi,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,48.2,2.08
Arjun Naik,PES Public School,Semi-Urban,Male,OBC,1,6,2024,Shivamogga,Enrolled,Not applicable,Higher Secondary,100000,67.74,90.125,35.2,2.02
Mira Das,Delhi Public School,Rural,Male,General,8,13,2018,Udupi,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,30,9.15
Riya Bhat,Jain International School,Rural,Female,OBC,1,6,2019,Shivamogga,Enrolled,Family Issues,Secondary,25000,52.757,79.65,29.1,4.26
Dhruv Singh,Assisi Central School,Rural,Male,OBC,10,15,2024,Udupi,Dropout,Family responsibilities,Primary,10000,52.757,71.58,46.7,7.42
Dhruv Iyer,Delhi Public School,Urban,Male,SC,8,13,2024,Belagavi,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,21.9,1.89
Tanvi Reddy,Assisi Central School,Semi-Urban,Male,General,3,8,2018,Udupi,Dropout,Family responsibilities,Secondary,25000,52.757,79.65,38.2,1.51
Anvi Pandey,Maharishi Public School,Semi-Urban,Male,OBC,3,8,2022,Dharwad,Enrolled,Not applicable,Primary,25000,67.74,90.125,38.6,2.82
Mira Sen,Jain International School,Urban,Female,General,6,11,2023,Bengaluru Rural,Enrolled,Not applicable,No Schooling,50000,67.74,99.77,23.2,2.5
Kabir Verma,Mount Litera Zee School,Rural,Male,General,7,12,2018,Mysuru,Enrolled,Not applicable,Higher Secondary,10000,67.74,90.125,33.7,9.71
Shreya Bhat,Delhi Public School,Semi-Urban,Female,General,1,6,2019,Udupi,Dropout,Child Labour,Post-Graduate,10000,52.757,79.65,42.3,2.17
Mira Shetty,PES Public School,Urban,Male,SC,6,11,2021,Bengaluru Rural,Dropout,Bullying,Secondary,10000,52.757,79.65,46.6,1.94
Ira Rao,Sri Taralabalu Central School,Semi-Urban,Female,OBC,3,8,2020,Ballari,Enrolled,Not applicable,No Schooling,10000,67.74,90.125,45.4,0.16
Ayush Chopra,Delhi Public School,Rural,Female,ST,3,8,2018,Mysuru,Enrolled,Health issues,Primary,50000,49.61,79.65,45.3,1.88
Pari Banerjee,Delhi Public School,Semi-Urban,Male,SC,3,8,2020,Tumakuru,Dropout,Other,Secondary,25000,52.757,79.65,28.7,1.66
Diya Kulkarni,Freedom International School,Semi-Urban,Male,SC,1,6,2018,Ballari,Dropout,Financial hardship,No Schooling,50000,52.757,79.65,30.4,1.72
Tanvi Singh,Maharishi Public School,Semi-Urban,Female,ST,6,11,2019,Belagavi,Dropout,Family responsibilities,Graduate,15000,52.757,79.65,34,0.56
Anaya Rao,National Public School,Rural,Male,SC,4,9,2024,Bengaluru Rural,Enrolled,Not applicable,Secondary,10000,67.74,90.125,34.2,2.55
Ayush Pandey,PES Public School,Urban,Female,OBC,7,12,2021,Tumakuru,Enrolled,Health issues,Post-Graduate,100000,52.757,69.81,34.5,0.96
Shreya Gupta,New Oxford School,Rural,Male,OBC,4,9,2019,Dakshina Kannada,Enrolled,Not applicable,Secondary,10000,67.74,91.86,22.1,1.07
Dhruv Verma,Assisi Central School,Semi-Urban,Male,General,9,14,2023,Bengaluru Urban,Enrolled,Not applicable,Primary,60000,67.74,97,48.7,2.02
Diya Nair,Sri Taralabalu Central School,Semi-Urban,Female,ST,6,11,2021,Shivamogga,Enrolled,Lack of interest,Primary,15000,52.757,79.65,42.2,2.7
Diya Ghosh,Freedom International School,Urban,Male,General,3,8,2024,Tumakuru,Enrolled,Not applicable,Primary,10000,67.74,90.125,42.3,2.12
Anaya Sharma,Freedom International School,Semi-Urban,Male,ST,8,13,2018,Belagavi,Enrolled,Not applicable,Graduate,15000,67.74,94.24,20.7,2.75
Ishaan Roy,Assisi Central School,Rural,Male,ST,8,13,2018,Dakshina Kannada,Enrolled,Not applicable,Primary,15000,88.5,90.125,25,2.17
Diya Shetty,National Public School,Semi-Urban,Female,SC,6,11,2019,Bengaluru Urban,Enrolled,Not applicable,Secondary,25000,67.74,90.125,37.8,1.24
Sneha Nair,Maharishi Public School,Semi-Urban,Female,OBC,10,15,2021,Tumakuru,Enrolled,Not applicable,No Schooling,100000,77.83,90.125,30.3,2.45
Diya Banerjee,Mount Litera Zee School,Rural,Female,General,7,12,2021,Shivamogga,Dropout,Poverty,Secondary,10000,52.757,79.65,39.9,9.64
Vivaan Rao,National Public School,Rural,Male,SC,7,12,2019,Shivamogga,Enrolled,Not applicable,No Schooling,25000,67.74,94.11,37.9,2.57
Mira Seth,Freedom International School,Rural,Female,General,3,8,2020,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,50000,67.74,94.14,48.2,8.59
Tanvi Chatterjee,New Oxford School,Semi-Urban,Male,ST,1,6,2021,Mysuru,Dropout,Other,Secondary,50000,52.757,78.73,23.8,0.44
Riya Joshi,Assisi Central School,Semi-Urban,Male,General,7,12,2024,Dharwad,Enrolled,Not applicable,No Schooling,100000,67.74,90.125,36.4,2.72
Vihaan Mehta,Jain International School,Urban,Male,General,10,15,2018,Ballari,Enrolled,Not applicable,No Schooling,25000,70.73,90.125,38.4,1.76
Ira Roy,Mount Litera Zee School,Urban,Female,OBC,7,12,2022,Udupi,Enrolled,Not applicable,Primary,10000,67.74,100,37.9,0.17
Tanvi Nair,Maharishi Public School,Rural,Male,OBC,9,14,2021,Dakshina Kannada,Enrolled,Not applicable,Secondary,25000,67.74,100,30.1,4.01
Ayush Reddy,Jain International School,Rural,Female,SC,9,14,2018,Belagavi,Enrolled,Long distance to school,Graduate,15000,35.99,77.92,21.4,2.84
Vivaan Mehta,Assisi Central School,Semi-Urban,Female,ST,2,7,2019,Belagavi,Dropout,Family responsibilities,Higher Secondary,50000,38.34,65.33,29.1,2.03
Arjun Verma,New Oxford School,Semi-Urban,Male,OBC,8,13,2019,Shivamogga,Enrolled,Not applicable,Post-Graduate,50000,68.88,99.95,23.2,2.32
Diya Rao,National Public School,Semi-Urban,Male,OBC,2,7,2024,Ballari,Enrolled,Not applicable,Higher Secondary,50000,67.74,99.36,33,1.28
Aryan Seth,Assisi Central School,Urban,Male,General,7,12,2019,Dharwad,Enrolled,Not applicable,Primary,60000,67.74,90.125,44.2,2.66
Laksh Kulkarni,Assisi Central School,Urban,Female,General,8,13,2023,Mysuru,Enrolled,Not applicable,Graduate,10000,67.74,90.125,40.2,0.12
Pari Shetty,Mount Litera Zee School,Urban,Female,SC,8,13,2020,Mysuru,Enrolled,Not applicable,Graduate,100000,67.74,93.75,42.3,2.89
Ayush Ghosh,Freedom International School,Semi-Urban,Male,OBC,9,14,2018,Ballari,Enrolled,Not applicable,Higher Secondary,50000,67.74,90.125,43.3,2.73
Rohan Roy,Delhi Public School,Urban,Female,General,1,6,2018,Udupi,Enrolled,Not applicable,Primary,15000,67.74,90.125,24.6,2.85
Aryan Verma,Jain International School,Semi-Urban,Female,General,9,14,2023,Dakshina Kannada,Enrolled,Not applicable,Higher Secondary,25000,67.74,90.125,27.7,2.16
Aryan Rao,New Oxford School,Rural,Female,SC,1,6,2024,Bengaluru Rural,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,39.4,4.95
Krishna Shetty,PES Public School,Urban,Female,OBC,1,6,2018,Belagavi,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,46.2,2.09
Diya Verma,New Oxford School,Rural,Female,ST,10,15,2024,Shivamogga,Enrolled,Migration,Secondary,25000,52.757,79.65,47.3,3.45
Ishaan Gupta,Jain International School,Rural,Female,OBC,2,7,2023,Shivamogga,Enrolled,Not applicable,No Schooling,25000,67.74,94.78,30.3,2.36
Harsh Iyer,Freedom International School,Urban,Female,ST,9,14,2024,Mysuru,Enrolled,Lack of interest,Higher Secondary,50000,52.757,79.65,30,0.37
Reyansh Gupta,Freedom International School,Urban,Male,ST,3,8,2022,Udupi,Enrolled,Migration,Graduate,10000,52.757,72.98,43.3,1.65
Vivaan Nair,Mount Litera Zee School,Rural,Male,SC,8,13,2021,Udupi,Enrolled,Lack of interest,Primary,60000,52.757,79.65,30.6,1.84
Anvi Sen,Delhi Public School,Rural,Female,ST,2,7,2024,Tumakuru,Enrolled,Other,Graduate,50000,52.37,79.65,24.6,1.13
Meera Shetty,Mount Litera Zee School,Semi-Urban,Male,ST,4,9,2020,Udupi,Enrolled,Other,Secondary,25000,43.93,79.65,26.6,0.6
Aadhya Chatterjee,National Public School,Rural,Male,General,10,15,2019,Shivamogga,Enrolled,Not applicable,Primary,50000,77.82,90.125,45.8,2.69
Ishaan Aggarwal,PES Public School,Semi-Urban,Male,General,7,12,2024,Bengaluru Rural,Dropout,Financial hardship,No Schooling,10000,52.757,79.65,41.5,0.43
Tanvi Rao,Sri Taralabalu Central School,Semi-Urban,Male,General,9,14,2022,Ballari,Dropout,Bullying,No Schooling,60000,33.77,79.65,45.6,0.25
Shreya Gupta,Sri Taralabalu Central School,Rural,Female,General,3,8,2020,Ballari,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,25,2.71
Rohan Gupta,Freedom International School,Semi-Urban,Male,OBC,8,13,2024,Bengaluru Rural,Enrolled,Not applicable,Primary,10000,67.74,90.22,45.6,2.84
Saanvi Roy,PES Public School,Semi-Urban,Female,ST,1,6,2023,Shivamogga,Enrolled,Not applicable,Primary,25000,67.74,100,38,0.68
Tanvi Iyer,New Oxford School,Rural,Female,OBC,6,11,2024,Tumakuru,Enrolled,Not applicable,Secondary,10000,67.74,90.35,47.3,2.08
Ishaan Iyer,New Oxford School,Semi-Urban,Male,SC,9,14,2023,Mysuru,Enrolled,Not applicable,Primary,10000,67.74,96.87,44.1,0.83
Vihaan Pandey,Delhi Public School,Semi-Urban,Male,General,4,9,2020,Udupi,Enrolled,Not applicable,Higher Secondary,10000,72.27,90.8,35.9,0.16
Ira Aggarwal,Jain International School,Rural,Female,OBC,3,8,2024,Dharwad,Enrolled,Not applicable,Secondary,10000,67.74,90.125,33,9.42
Priya Chopra,Jain International School,Rural,Male,ST,8,13,2021,Mysuru,Enrolled,Not applicable,Post-Graduate,15000,67.74,90.125,36.9,8.1
Anaya Kumar,Assisi Central School,Urban,Male,ST,1,6,2018,Bengaluru Urban,Enrolled,Not applicable,Secondary,15000,67.74,90.125,26.2,2.5
Laksh Kulkarni,Freedom International School,Rural,Male,OBC,3,8,2023,Bengaluru Urban,Enrolled,Not applicable,Primary,10000,67.74,94.32,47.8,1.89
Arjun Iyer,Delhi Public School,Urban,Female,OBC,5,10,2024,Belagavi,Enrolled,Not applicable,Secondary,10000,67.74,100,41.8,0.81
Laksh Gowda,PES Public School,Urban,Female,SC,1,6,2018,Tumakuru,Enrolled,Not applicable,Secondary,10000,82.82,90.125,40.5,0.6
Krishna Reddy,New Oxford School,Semi-Urban,Female,General,2,7,2021,Belagavi,Enrolled,Not applicable,Primary,50000,67.74,90.125,31.6,1.53
Vivaan Roy,Freedom International School,Urban,Male,OBC,9,14,2020,Mysuru,Enrolled,Not applicable,Higher Secondary,50000,69.84,90.125,48.6,2.81
Anaya Seth,Delhi Public School,Rural,Male,OBC,7,12,2020,Ballari,Enrolled,Not applicable,Secondary,15000,67.74,90.125,25.6,5.82
Diya Sen,National Public School,Semi-Urban,Male,SC,10,15,2024,Bengaluru Urban,Dropout,Bullying,Secondary,25000,52.757,79.65,27.4,1.27
Rohan Sen,Assisi Central School,Semi-Urban,Female,OBC,4,9,2021,Tumakuru,Enrolled,Not applicable,No Schooling,60000,67.74,90.125,37.3,1.42
Aadhya Seth,Delhi Public School,Semi-Urban,Female,OBC,4,9,2022,Belagavi,Enrolled,Not applicable,Secondary,25000,67.74,90.125,45.3,0.47
Diya Joshi,Freedom International School,Urban,Female,ST,9,14,2021,Tumakuru,Enrolled,Not applicable,No Schooling,50000,67.74,90.125,27.5,0.78
Dhruv Nair,Maharishi Public School,Rural,Female,OBC,2,7,2023,Bengaluru Rural,Enrolled,Not applicable,Secondary,10000,67.74,97.47,30.1,1.25
Laksh Gowda,Jain International School,Urban,Male,SC,10,15,2024,Mysuru,Dropout,Long distance to school,Primary,15000,52.757,76.95,31.2,0.28
